sub	sess	t	cond	loc	prob	tgt
1	1	74	2	8	2.500000e-01	24
1	1	75	2	14	2.500000e-01	9
1	1	76	2	12	2.500000e-01	13
1	1	77	2	8	2.500000e-01	4
1	1	78	2	14	2.500000e-01	19
1	1	79	2	14	2.500000e-01	11
1	1	80	2	8	2.500000e-01	33
1	1	81	1	10	2.500000e-01	78
1	1	82	2	14	2.500000e-01	70
1	1	83	1	10	2.500000e-01	58
1	1	84	2	14	2.500000e-01	45
1	1	85	1	10	2.500000e-01	36
1	1	86	2	14	2.500000e-01	5
1	1	87	1	1	2.500000e-01	57
1	1	88	2	8	2.500000e-01	44
1	1	89	2	14	2.500000e-01	21
1	1	90	1	1	2.500000e-01	68
1	1	91	2	14	2.500000e-01	66
1	1	92	1	4	2.500000e-01	35
1	1	93	2	12	2.500000e-01	2
1	1	94	2	2	2.500000e-01	22
1	1	95	1	4	2.500000e-01	64
1	1	96	2	2	2.500000e-01	48
1	1	97	1	15	2.500000e-01	67
1	1	98	1	10	2.500000e-01	80
1	1	99	1	15	2.500000e-01	46
1	1	100	1	4	2.500000e-01	49
1	1	101	1	1	2.500000e-01	14
1	1	102	1	1	2.500000e-01	27
1	1	103	2	8	2.500000e-01	67
1	1	104	2	8	2.500000e-01	63
1	1	105	1	10	2.500000e-01	47
1	1	106	2	2	2.500000e-01	60
1	1	107	2	2	2.500000e-01	38
1	1	108	2	8	2.500000e-01	34
1	1	109	1	1	2.500000e-01	52
1	1	110	2	12	2.500000e-01	54
1	1	111	2	14	2.500000e-01	69
1	1	112	2	12	2.500000e-01	80
1	1	113	1	10	2.500000e-01	51
1	1	114	1	15	2.500000e-01	23
1	1	115	2	14	2.500000e-01	29
1	1	116	1	1	2.500000e-01	74
1	1	117	2	14	2.500000e-01	14
1	1	118	1	4	2.500000e-01	69
1	1	119	1	15	2.500000e-01	26
1	1	120	2	14	2.500000e-01	6
1	1	121	1	15	2.500000e-01	60
1	1	122	1	15	2.500000e-01	21
1	1	123	1	4	2.500000e-01	30
1	1	124	2	12	2.500000e-01	52
1	1	125	1	4	2.500000e-01	33
1	1	126	2	14	2.500000e-01	27
1	1	127	1	15	2.500000e-01	75
1	1	128	1	10	2.500000e-01	22
1	1	129	1	10	2.500000e-01	11
1	1	130	1	10	2.500000e-01	41
1	1	131	1	1	2.500000e-01	16
1	1	132	2	12	2.500000e-01	30
1	1	133	2	14	2.500000e-01	23
1	1	134	1	4	2.500000e-01	77
1	1	135	1	1	2.500000e-01	40
1	1	136	1	10	2.500000e-01	79
1	1	137	1	1	2.500000e-01	28
1	1	138	1	4	2.500000e-01	5
1	1	139	2	2	2.500000e-01	7
1	1	140	1	4	2.500000e-01	61
1	1	141	1	15	2.500000e-01	59
1	1	142	1	15	2.500000e-01	72
1	1	143	1	4	2.500000e-01	1
1	1	144	2	14	2.500000e-01	62
1	1	145	2	8	2.500000e-01	3
1	1	146	2	2	2.500000e-01	26
1	1	147	1	10	2.500000e-01	48
1	1	148	2	2	2.500000e-01	17
1	1	149	1	10	2.500000e-01	76
1	1	150	1	15	2.500000e-01	45
1	1	151	1	1	2.500000e-01	18
1	1	152	2	2	2.500000e-01	16
1	1	153	2	8	2.500000e-01	1
1	1	154	1	10	2.500000e-01	71
1	1	155	2	2	2.500000e-01	76
1	1	156	2	14	2.500000e-01	72
1	1	157	2	14	2.500000e-01	64
1	1	158	2	12	2.500000e-01	79
1	1	159	2	14	2.500000e-01	71
1	1	160	1	10	2.500000e-01	34
